Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,EUR,2017-12-29,IDVY(IE00B0M62S72) Cash Dividend 0.02370000 EUR per Share (Mixed Income),1.42
Dividends,Data,EUR,2018-01-05,REE(ES0173093024) Cash Dividend 0.25490000 EUR per Share (Ordinary Dividend),127.44
Dividends,Data,EUR,2018-02-01,SAN(ES0113900J37) Cash Dividend 0.06000000 EUR per Share (Ordinary Dividend),110.76
Dividends,Data,EUR,2018-02-12,ACS(ES06670509C3) Expire Dividend Right (Ordinary Dividend),8.08
Dividends,Data,EUR,2018-03-20,ABE(ES0111845014) Cash Dividend 0.40000000 EUR per Share (Ordinary Dividend),200
Dividends,Data,EUR,2018-03-21,UNA(DRIPSUNA1802) Expire Dividend Right (Ordinary Dividend),10.75
Dividends,Data,EUR,2018-03-28,IDVY(IE00B0M62S72) Cash Dividend 0.08870000 EUR per Share (Mixed Income),5.32
Dividends,Data,EUR,2018-05-02,SAN(ES0113900J37) Cash Dividend 0.06000000 EUR per Share (Ordinary Dividend),110.76
Dividends,Data,EUR,2018-05-11,BME(ES0115056139) Cash Dividend 0.78000000 EUR per Share (Ordinary Dividend),273
Dividends,Data,EUR,2018-06-06,UNA(DRIPSUNA1805) Expire Dividend Right (Ordinary Dividend),11.61
Dividends,Data,EUR,2018-06-14,MAP(ES0124244E34) Cash Dividend 0.08570000 EUR per Share (Ordinary Dividend),329.95
Dividends,Data,EUR,2018-06-15,TEF(ES0178430E18) Cash Dividend 0.20000000 EUR per Share (Ordinary Div - NRA Withholding Exempt),200.4
Dividends,Data,EUR,2018-06-27,IDVY(IE00B0M62S72) Cash Dividend 0.77680000 EUR per Share (Mixed Income),46.61
Dividends,Data,EUR,2018-07-02,REE(ES0173093024) Cash Dividend 0.66390000 EUR per Share (Ordinary Dividend),497.93
Dividends,Data,EUR,2018-07-05,ENG(ES0130960018) Cash Dividend 0.87600000 EUR per Share (Ordinary Dividend),372.3
Dividends,Data,EUR,2018-07-17,ACS(ES06670509D1) Expire Dividend Right (Ordinary Dividend),163.8
Dividends,Data,EUR,2018-07-25,IBE(ES06445809G2) Expire Dividend Right (Ordinary Dividend),283.65
