Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,EUR,2018-08-01,SAN(ES0113900J37) Cash Dividend 0.06500000 EUR per Share (Ordinary Dividend),126.75
Dividends,Data,EUR,2018-09-05,UNA(DRIPSUNA1808) Expire Dividend Right (Ordinary Dividend),11.61
Dividends,Data,EUR,2018-09-14,BME(ES0115056139) Cash Dividend 0.40000000 EUR per Share (Ordinary Dividend),140
Dividends,Data,EUR,2018-09-26,IDVY(IE00B0M62S72) Cash Dividend 0.06680000 EUR per Share (Mixed Income),4.01
Dividends,Data,EUR,2018-11-13,SAN(ES06139009R7) Expire Dividend Right (Ordinary Dividend),1.19
Dividends,Data,EUR,2018-12-05,UNA(NL0000009355) Cash Dividend 0.38720000 EUR per Share (Ordinary Dividend),11.61
Dividends,Data,EUR,2018-12-19,ENG(ES0130960018) Cash Dividend 0.61200000 EUR per Share (Ordinary Dividend),260.1
Dividends,Data,EUR,2018-12-20,MAP(ES0124244E34) Cash Dividend 0.06050000 EUR per Share (Ordinary Dividend),242
Dividends,Data,EUR,2018-12-20,TEF(ES0178430E18) Cash Dividend 0.20000000 EUR per Share (Ordinary Div - NRA Withholding Exempt),200.4
Dividends,Data,EUR,2018-12-28,BME(ES0115056139) Cash Dividend 0.60000000 EUR per Share (Ordinary Dividend),210
Dividends,Data,GBP,2017-12-29,ISF(IE0005042456) Cash Dividend 0.05320000 GBP per Share (Mixed Income),9.31
Dividends,Data,GBP,2018-03-28,ISF(IE0005042456) Cash Dividend 0.05410000 GBP per Share (Mixed Income),9.47
Dividends,Data,GBP,2018-06-27,ISF(IE0005042456) Cash Dividend 0.09420000 GBP per Share (Mixed Income),16.49
Dividends,Data,GBP,2018-09-26,ISF(IE0005042456) Cash Dividend 0.09010000 GBP per Share (Mixed Income),27.03
Dividends,Data,GBP,2018-12-28,ISF(IE0005042456) Cash Dividend 0.05730000 GBP per Share (Mixed Income),26.36
Dividends,Data,USD,2018-01-11,PM(US7181721090) Cash Dividend 1.07000000 USD per Share (Mixed Income),37.45
Dividends,Data,USD,2018-01-12,O(US7561091049) Cash Dividend 0.21250000 USD per Share (Ordinary Dividend),10.62
Dividends,Data,USD,2018-02-01,POT(CA73755L1076) Cash Dividend USD 0.10000000 (Ordinary Dividend),3.2
Dividends,Data,USD,2018-02-01,T(US00206R1023) Cash Dividend 0.50000000 USD per Share (Ordinary Dividend),100
Dividends,Data,USD,2018-02-06,BND(US9219378356) Cash Dividend USD 0.17662400 (Ordinary Dividend),1.77
Dividends,Data,USD,2018-02-15,O(US7561091049) Cash Dividend 0.21900000 USD per Share (Ordinary Dividend),10.95
Dividends,Data,USD,2018-03-02,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2018-03-06,BND(US9219378356) Cash Dividend USD 0.16534500 (Ordinary Dividend),1.65
Dividends,Data,USD,2018-03-12,CVX(US1667641005) Cash Dividend 1.12000000 USD per Share (Ordinary Dividend),43.68
Dividends,Data,USD,2018-03-15,MCD(US5801351017) Cash Dividend 1.01000000 USD per Share (Ordinary Dividend),5.05
Dividends,Data,USD,2018-03-15,O(US7561091049) Cash Dividend 0.21900000 USD per Share (Ordinary Dividend),10.95
Dividends,Data,USD,2018-04-02,KO(US1912161007) Cash Dividend 0.39000000 USD per Share (Ordinary Dividend),5.07
Dividends,Data,USD,2018-04-05,BND(43645828) Cash Dividend 0.18101300 USD per Share (Ordinary Dividend),1.81
Dividends,Data,USD,2018-04-05,BND(US9219378356) Cash Dividend USD 0.01916000 (Ordinary Dividend),0.19
Dividends,Data,USD,2018-04-11,PM(US7181721090) Cash Dividend 1.07000000 USD per Share (Mixed Income),37.45
Dividends,Data,USD,2018-04-13,O(US7561091049) Cash Dividend USD 0.21950000 (Ordinary Dividend),10.98
Dividends,Data,USD,2018-04-20,NTR(CA67077M1086) Cash Dividend USD 0.40000000 (Ordinary Dividend),4.8
Dividends,Data,USD,2018-05-01,T(US00206R1023) Cash Dividend USD 0.50000000 (Ordinary Dividend),100
Dividends,Data,USD,2018-05-04,BND(US9219378356) Cash Dividend USD 0.178358 (Ordinary Dividend),1.78
Dividends,Data,USD,2018-05-15,O(US7561091049) Cash Dividend USD 0.21950000 (Ordinary Dividend),10.97
Dividends,Data,USD,2018-05-15,PG(US7427181091) Cash Dividend USD 0.71720000 (Ordinary Dividend),10.76
Dividends,Data,USD,2018-05-22,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2018-06-06,BND(US9219378356) Cash Dividend USD 0.18462 (Ordinary Dividend),1.85
Dividends,Data,USD,2018-06-11,CVX(US1667641005) Cash Dividend USD 1.12000000 (Ordinary Dividend),43.68
Dividends,Data,USD,2018-06-15,O(US7561091049) Cash Dividend USD 0.21950000 (Ordinary Dividend),10.97
Dividends,Data,USD,2018-06-18,MCD(US5801351017) Cash Dividend USD 1.01000000 (Ordinary Dividend),5.05
Dividends,Data,USD,2018-07-02,KO(US1912161007) Cash Dividend USD 0.39000000 (Ordinary Dividend),5.07
Dividends,Data,USD,2018-07-06,BND(US9219378356) Cash Dividend USD 0.181007 (Ordinary Dividend),1.81
Dividends,Data,USD,2018-07-11,PM(US7181721090) Cash Dividend 1.14000000 USD per Share (Mixed Income),45.6
Dividends,Data,USD,2018-07-13,O(US7561091049) Cash Dividend USD 0.22000000 (Ordinary Dividend),11
Dividends,Data,USD,2018-07-18,NTR(CA67077M1086) Cash Dividend USD 0.40000000 (Ordinary Dividend),4.8
Dividends,Data,USD,2018-08-01,T(US00206R1023) Cash Dividend 0.50000000 USD per Share (Ordinary Dividend),112.5
Dividends,Data,USD,2018-08-06,BND(US9219378356) Cash Dividend 0.18685800 USD per Share (Mixed Income),1.87
Dividends,Data,USD,2018-08-15,O(US7561091049) Cash Dividend USD 0.22000000 (Ordinary Dividend),11
Dividends,Data,USD,2018-08-15,PG(US7427181091) Cash Dividend USD 0.71720000 (Ordinary Dividend),32.27
Dividends,Data,USD,2018-08-21,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2018-09-06,BND(US9219378356) Cash Dividend USD 0.18764 (Ordinary Dividend),1.88
Dividends,Data,USD,2018-09-10,CVX(US1667641005) Cash Dividend 1.12000000 USD per Share (Ordinary Dividend),43.68
Dividends,Data,USD,2018-09-11,JNJ(US4781601046) Cash Dividend USD 0.90000000 (Ordinary Dividend),4.5
Dividends,Data,USD,2018-09-14,O(US7561091049) Cash Dividend USD 0.22000000 (Ordinary Dividend),11
Dividends,Data,USD,2018-09-18,MCD(US5801351017) Cash Dividend USD 1.01000000 (Ordinary Dividend),5.05
Dividends,Data,USD,2018-10-01,KO(US1912161007) Cash Dividend USD 0.39000000 (Ordinary Dividend),5.07
Dividends,Data,USD,2018-10-12,PM(US7181721090) Cash Dividend 1.14000000 USD per Share (Ordinary Dividend),72.96
Dividends,Data,USD,2018-10-15,O(US7561091049) Cash Dividend USD 0.22050000 (Ordinary Dividend),11.02
Dividends,Data,USD,2018-11-01,T(US00206R1023) Cash Dividend 0.50000000 USD per Share (Ordinary Dividend),120
Dividends,Data,USD,2018-11-15,O(US7561091049) Cash Dividend USD 0.22050000 (Ordinary Dividend),11.03
Dividends,Data,USD,2018-11-15,PG(US7427181091) Cash Dividend 0.71720000 USD per Share (Ordinary Dividend),32.27
Dividends,Data,USD,2018-11-20,HCP(US40414L1098) Cash Dividend 0.37000000 USD per Share (Ordinary Dividend),48.47
Dividends,Data,USD,2018-12-10,CVX(US1667641005) Cash Dividend 1.12000000 USD per Share (Ordinary Dividend),43.68
Dividends,Data,USD,2018-12-11,JNJ(US4781601046) Cash Dividend USD 0.90 (Ordinary Dividend),4.5
Dividends,Data,USD,2018-12-14,KO(US1912161007) Cash Dividend USD 0.39 (Ordinary Dividend),5.07
Dividends,Data,USD,2018-12-14,O(US7561091049) Cash Dividend 0.22050000 USD per Share (Ordinary Dividend),11.02
Dividends,Data,USD,2018-12-17,MCD(US5801351017) Cash Dividend USD 1.16 (Ordinary Dividend),5.8
