,Date,Tickers,Currency,Amount,Amount_euro
132,2016-05-03,POT,USD,8.0,7.2
133,2016-05-16,KMI,USD,3.75,3.4
134,2016-05-16,O,USD,5.38,4.9
135,2016-05-24,HCP,USD,23.0,20.7
136,2016-05-24,HCP,USD,46.0,41.5
137,2016-06-01,UL,USD,9.13,8.2
138,2016-06-10,CVX,USD,41.73,37.6
139,2016-06-15,O,USD,5.38,4.9
140,2016-06-20,MCD,USD,4.45,4.0
141,2016-07-01,KO,USD,4.55,4.1
142,2016-07-11,PM,USD,35.7,32.2
143,2016-07-15,O,USD,5.39,4.9
144,2016-08-01,T,USD,48.0,43.3
145,2016-08-02,POT,USD,0.75,0.7
146,2016-08-02,POT,USD,7.25,6.5
147,2016-08-15,KMI,USD,3.75,3.4
148,2016-08-15,O,USD,5.39,4.9
149,2016-08-23,HCP,USD,69.0,62.2
150,2016-09-07,UL,USD,8.83,8.0
151,2016-09-12,CVX,USD,41.73,37.6
152,2016-09-15,O,USD,5.44,4.9
153,2016-09-16,MCD,USD,4.45,4.0
154,2016-10-03,KO,USD,4.55,4.1
155,2016-10-13,PM,USD,36.4,32.8
156,2016-10-17,O,USD,5.46,4.9
157,2016-11-01,T,USD,48.0,43.3
158,2016-11-02,POT,USD,2.81,2.5
159,2016-11-02,POT,USD,0.4,0.4
160,2016-11-15,KMI,USD,3.75,3.4
161,2016-11-15,O,USD,5.46,4.9
162,2016-11-25,HCP,USD,48.47,43.7
163,2016-12-07,UL,USD,8.87,8.0
164,2016-12-12,CVX,USD,42.12,38.0
165,2016-12-15,KO,USD,4.55,4.1
166,2016-12-15,MCD,USD,4.71,4.2
167,2016-12-15,O,USD,5.46,4.9
168,2016-12-29,BME,EUR,192.0,192.0
169,2016-12-30,IDVY,EUR,0.43,0.4
170,2017-01-05,REE,EUR,79.8,79.8
171,2017-02-01,SAN,EUR,91.74,91.7
172,2017-03-15,UNA,EUR,9.6,9.6
173,2017-03-31,IDVY,EUR,2.64,2.6
174,2017-04-24,ABE,EUR,185.0,185.0
175,2017-05-02,SAN,EUR,91.74,91.7
176,2017-05-05,BME,EUR,256.0,256.0
177,2017-06-07,UNA,EUR,10.75,10.8
178,2017-06-16,TEF,EUR,160.0,160.0
179,2017-06-20,MAP,EUR,279.17,279.2
180,2017-06-30,IDVY,EUR,46.9,46.9
181,2017-07-03,REE,EUR,279.22,279.2
182,2017-07-05,ENG,EUR,287.73,287.7
183,2017-07-07,IBE,EUR,28.51,28.5
184,2017-07-26,ACS,EUR,15.77,15.8
185,2017-07-28,IBE,EUR,1.47,1.5
186,2017-08-04,SAN,EUR,110.04,110.0
187,2017-09-06,UNA,EUR,10.76,10.8
188,2017-09-08,BME,EUR,128.0,128.0
189,2017-09-29,IDVY,EUR,2.49,2.5
190,2017-11-02,ABE,EUR,200.0,200.0
191,2017-11-03,SAN,EUR,5.2,5.2
192,2017-12-13,UNA,EUR,10.76,10.8
193,2017-12-14,MAP,EUR,196.63,196.6
194,2017-12-14,TEF,EUR,160.0,160.0
195,2017-12-21,ENG,EUR,233.6,233.6
196,2017-12-29,BME,EUR,210.0,210.0
197,2016-12-30,ISF,GBP,8.84,10.1
198,2017-03-31,ISF,GBP,10.76,12.3
199,2017-06-30,ISF,GBP,16.54,18.9
200,2017-09-29,ISF,GBP,16.13,18.5
201,2017-01-10,PM,USD,36.4,32.3
202,2017-01-13,O,USD,5.47,4.9
203,2017-02-01,T,USD,49.0,43.5
204,2017-02-02,POT,USD,3.2,2.8
205,2017-02-15,KMI,USD,16.26,14.4
206,2017-02-15,O,USD,5.68,5.0
207,2017-03-02,HCP,USD,48.47,43.0
208,2017-03-10,CVX,USD,42.12,37.4
209,2017-03-15,MCD,USD,4.71,4.2
210,2017-03-15,O,USD,5.68,5.0
211,2017-04-03,KO,USD,4.81,4.3
212,2017-04-11,PM,USD,36.4,32.3
213,2017-04-14,O,USD,5.7,5.1
214,2017-05-01,T,USD,49.0,43.5
215,2017-05-02,POT,USD,3.2,2.8
216,2017-05-15,KMI,USD,16.25,14.4
217,2017-05-15,O,USD,5.7,5.1
218,2017-05-23,HCP,USD,48.47,43.0
219,2017-06-12,CVX,USD,42.12,37.4
220,2017-06-15,O,USD,6.33,5.6
221,2017-06-19,MCD,USD,4.71,4.2
222,2017-07-03,KO,USD,4.81,4.3
223,2017-07-10,BND,USD,1.7,1.5
224,2017-07-11,PM,USD,36.4,32.3
225,2017-07-14,O,USD,6.34,5.6
226,2017-08-01,POT,USD,3.2,2.8
227,2017-08-01,T,USD,49.0,43.5
228,2017-08-07,BND,USD,1.71,1.5
229,2017-08-15,O,USD,6.34,5.6
230,2017-08-22,HCP,USD,48.47,43.0
231,2017-09-08,BND,USD,1.73,1.5
232,2017-09-11,CVX,USD,42.12,37.4
233,2017-09-15,O,USD,6.34,5.6
234,2017-09-18,MCD,USD,4.71,4.2
235,2017-10-02,KO,USD,4.81,4.3
236,2017-10-05,BND,USD,1.68,1.5
237,2017-10-12,PM,USD,37.45,33.3
238,2017-10-13,O,USD,6.36,5.6
239,2017-11-01,POT,USD,3.2,2.8
240,2017-11-01,T,USD,63.7,56.6
241,2017-11-06,BND,USD,1.73,1.5
242,2017-11-15,O,USD,10.6,9.4
243,2017-11-21,HCP,USD,48.47,43.0
244,2017-12-06,BND,USD,1.68,1.5
245,2017-12-11,CVX,USD,42.12,37.4
246,2017-12-15,KO,USD,4.81,4.3
247,2017-12-15,MCD,USD,5.05,4.5
248,2017-12-15,O,USD,10.6,9.4
249,2017-12-29,BND,USD,2.12,1.9
250,2017-12-29,IDVY,EUR,1.42,1.4
251,2018-01-05,REE,EUR,127.44,127.4
252,2018-02-01,SAN,EUR,110.76,110.8
253,2018-02-12,ACS,EUR,8.08,8.1
254,2018-03-20,ABE,EUR,200.0,200.0
255,2018-03-21,UNA,EUR,10.75,10.8
256,2018-03-28,IDVY,EUR,5.32,5.3
257,2018-05-02,SAN,EUR,110.76,110.8
258,2018-05-11,BME,EUR,273.0,273.0
259,2018-06-06,UNA,EUR,11.61,11.6
260,2018-06-14,MAP,EUR,329.95,330.0
261,2018-06-15,TEF,EUR,200.4,200.4
262,2018-06-27,IDVY,EUR,46.61,46.6
263,2018-07-02,REE,EUR,497.93,497.9
264,2018-07-05,ENG,EUR,372.3,372.3
265,2018-07-17,ACS,EUR,163.8,163.8
266,2018-07-25,IBE,EUR,283.65,283.6
267,2018-08-01,SAN,EUR,126.75,126.8
268,2018-09-05,UNA,EUR,11.61,11.6
269,2018-09-14,BME,EUR,140.0,140.0
270,2018-09-26,IDVY,EUR,4.01,4.0
271,2018-11-13,SAN,EUR,1.19,1.2
272,2018-12-05,UNA,EUR,11.61,11.6
273,2018-12-19,ENG,EUR,260.1,260.1
274,2018-12-20,MAP,EUR,242.0,242.0
275,2018-12-20,TEF,EUR,200.4,200.4
276,2018-12-28,BME,EUR,210.0,210.0
277,2017-12-29,ISF,GBP,9.31,10.4
278,2018-03-28,ISF,GBP,9.47,10.6
