Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,USD,2015-06-03,UL(US9047677045) Cash Dividend 0.31900000 USD per Share (Ordinary Dividend),7.98
Dividends,Data,USD,2015-06-10,CVX(US1667641005) Cash Dividend 1.07000000 USD per Share (Ordinary Dividend),27.82
Dividends,Data,USD,2015-06-12,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
Dividends,Data,USD,2015-06-15,MCD(US5801351017) Cash Dividend 0.85000000 USD per Share (Ordinary Dividend),4.25
Dividends,Data,USD,2015-06-15,MT(US03938L1044) Cash Dividend 0.20000000 USD per Share (Ordinary Dividend),40
Dividends,Data,USD,2015-06-15,O(US7561091049) Cash Dividend 0.18950000 USD per Share (Ordinary Dividend),5.12
Dividends,Data,USD,2015-07-01,KO(US1912161007) Cash Dividend 0.33000000 USD per Share (Ordinary Dividend),4.29
Dividends,Data,USD,2015-07-10,PM(US7181721090) Cash Dividend 1.00000000 USD per Share (Mixed Income),35.01
Dividends,Data,USD,2015-07-15,O(US7561091049) Cash Dividend 0.19000000 USD per Share (Ordinary Dividend),5.13
Dividends,Data,USD,2015-07-15,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
Dividends,Data,USD,2015-07-31,POT(CA73755L1076) Cash Dividend USD 0.38000000 (Ordinary Dividend),12.16
Dividends,Data,USD,2015-08-03,T(US00206R1023) Cash Dividend 0.47000000 USD per Share (Ordinary Dividend),47
Dividends,Data,USD,2015-08-14,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
Dividends,Data,USD,2015-08-17,O(US7561091049) Cash Dividend 0.19000000 USD per Share (Ordinary Dividend),5.13
Dividends,Data,USD,2015-08-25,HCP(US40414L1098) Cash Dividend USD 0.56500000 (Ordinary Dividend),56.5
Dividends,Data,USD,2015-09-09,UL(US9047677045) Cash Dividend 0.32820000 USD per Share (Ordinary Dividend),8.21
Dividends,Data,USD,2015-09-10,CVX(US1667641005) Cash Dividend 1.07000000 USD per Share (Ordinary Dividend),27.82
Dividends,Data,USD,2015-09-14,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
Dividends,Data,USD,2015-09-15,O(US7561091049) Cash Dividend 0.19000000 USD per Share (Ordinary Dividend),5.13
Dividends,Data,USD,2015-09-16,MCD(US5801351017) Cash Dividend 0.85000000 USD per Share (Ordinary Dividend),4.25
Dividends,Data,USD,2015-10-01,KO(US1912161007) Cash Dividend 0.33000000 USD per Share (Ordinary Dividend),4.29
Dividends,Data,USD,2015-10-14,PM(US7181721090) Cash Dividend 1.02000000 USD per Share (Mixed Income),35.7
Dividends,Data,USD,2015-10-15,O(US7561091049) Cash Dividend 0.19050000 USD per Share (Ordinary Dividend),5.14
Dividends,Data,USD,2015-10-15,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
Dividends,Data,USD,2015-11-02,T(US00206R1023) Cash Dividend 0.47000000 USD per Share (Ordinary Dividend),47
Dividends,Data,USD,2015-11-03,POT(CA73755L1076) Cash Dividend USD 0.38000000 (Ordinary Dividend),12.16
Dividends,Data,USD,2015-11-13,KMI(US49456B1017) Cash Dividend 0.51000000 USD per Share (Ordinary Dividend),15.3
Dividends,Data,USD,2015-11-13,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
Dividends,Data,USD,2015-11-16,O(US7561091049) Cash Dividend 0.19050000 USD per Share (Ordinary Dividend),5.14
Dividends,Data,USD,2015-11-24,HCP(US40414L1098) Cash Dividend USD 0.56500000 (Ordinary Dividend),56.51
Dividends,Data,USD,2015-12-09,UL(US9047677045) Cash Dividend 0.34350000 USD per Share (Ordinary Dividend),8.59
Dividends,Data,USD,2015-12-10,CVX(US1667641005) Cash Dividend 1.07000000 USD per Share (Ordinary Dividend),41.73
Dividends,Data,USD,2015-12-15,KO(US1912161007) Cash Dividend 0.33000000 USD per Share (Ordinary Dividend),4.29
Dividends,Data,USD,2015-12-15,MCD(US5801351017) Cash Dividend 0.89000000 USD per Share (Ordinary Dividend),4.45
Dividends,Data,USD,2015-12-15,O(US7561091049) Cash Dividend 0.19050000 USD per Share (Ordinary Dividend),5.14
Dividends,Data,USD,2015-12-15,VNR(US92205F1066) Cash Dividend 0.11750000 USD per Share (Ordinary Dividend),5.28
