Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,USD,2017-08-15,O(US7561091049) Cash Dividend 0.21150000 USD per Share (Ordinary Dividend),6.34
Dividends,Data,USD,2017-08-22,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2017-09-08,BND(US9219378356) Cash Dividend USD 0.17351900 (Ordinary Dividend),1.73
Dividends,Data,USD,2017-09-11,CVX(US1667641005) Cash Dividend 1.08000000 USD per Share (Ordinary Dividend),42.12
Dividends,Data,USD,2017-09-15,O(US7561091049) Cash Dividend 0.21150000 USD per Share (Ordinary Dividend),6.34
Dividends,Data,USD,2017-09-18,MCD(US5801351017) Cash Dividend 0.94000000 USD per Share (Ordinary Dividend),4.71
Dividends,Data,USD,2017-10-02,KO(US1912161007) Cash Dividend 0.37000000 USD per Share (Ordinary Dividend),4.81
Dividends,Data,USD,2017-10-05,BND(US9219378356) Cash Dividend USD 0.16817000 (Ordinary Dividend),1.68
Dividends,Data,USD,2017-10-12,PM(US7181721090) Cash Dividend 1.07000000 USD per Share (Mixed Income),37.45
Dividends,Data,USD,2017-10-13,O(US7561091049) Cash Dividend 0.21200000 USD per Share (Ordinary Dividend),6.36
Dividends,Data,USD,2017-11-01,POT(CA73755L1076) Cash Dividend USD 0.10000000 (Ordinary Dividend),3.2
Dividends,Data,USD,2017-11-01,T(US00206R1023) Cash Dividend 0.49000000 USD per Share (Ordinary Dividend),63.7
Dividends,Data,USD,2017-11-06,BND(US9219378356) Cash Dividend USD 0.17285800 (Ordinary Dividend),1.73
Dividends,Data,USD,2017-11-15,O(US7561091049) Cash Dividend 0.21200000 USD per Share (Ordinary Dividend),10.6
Dividends,Data,USD,2017-11-21,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2017-12-06,BND(US9219378356) Cash Dividend USD 0.16843400 (Ordinary Dividend),1.68
Dividends,Data,USD,2017-12-11,CVX(US1667641005) Cash Dividend 1.08000000 USD per Share (Ordinary Dividend),42.12
Dividends,Data,USD,2017-12-15,KO(US1912161007) Cash Dividend 0.37000000 USD per Share (Ordinary Dividend),4.81
Dividends,Data,USD,2017-12-15,MCD(US5801351017) Cash Dividend 1.01000000 USD per Share (Ordinary Dividend),5.05
Dividends,Data,USD,2017-12-15,O(US7561091049) Cash Dividend 0.21200000 USD per Share (Ordinary Dividend),10.6
Dividends,Data,USD,2017-12-29,BND(US9219378356) Cash Dividend USD 0.21121900 (Ordinary Dividend),2.12
