Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,EUR,2016-12-29,BME(ES0115056139) Cash Dividend 0.60000000 EUR per Share (Ordinary Dividend),192
Dividends,Data,EUR,2016-12-30,IDVY(IE00B0M62S72) Cash Dividend 0.00710000 EUR per Share (Ordinary Dividend),0.43
Dividends,Data,EUR,2017-01-05,REE(ES0173093024) Cash Dividend 0.23820000 EUR per Share (Ordinary Dividend),79.8
Dividends,Data,EUR,2017-02-01,SAN(ES0113900J37) Cash Dividend 0.05500000 EUR per Share (Ordinary Dividend),91.74
Dividends,Data,EUR,2017-03-15,UNA(NL0012171433) Expire Dividend Right (Ordinary Dividend),9.6
Dividends,Data,EUR,2017-03-31,IDVY(IE00B0M62S72) Cash Dividend 0.04400000 EUR per Share (Mixed Income),2.64
Dividends,Data,EUR,2017-04-24,ABE(ES0111845014) Cash Dividend EUR 0.37000000 (Ordinary Dividend),185
Dividends,Data,EUR,2017-05-02,SAN(ES0113900J37) Cash Dividend 0.05500000 EUR per Share (Ordinary Dividend),91.74
Dividends,Data,EUR,2017-05-05,BME(ES0115056139) Cash Dividend 0.80000000 EUR per Share (Ordinary Dividend),256
Dividends,Data,EUR,2017-06-07,UNA(NL0012314595) Expire Dividend Right (Ordinary Dividend),10.75
Dividends,Data,EUR,2017-06-16,TEF(ES0178430E18) Cash Dividend 0.20000000 EUR per Share (Ordinary Div - NRA Withholding Exempt),160
Dividends,Data,EUR,2017-06-20,MAP(ES0124244E34) Cash Dividend 0.08590000 EUR per Share (Ordinary Dividend),279.17
Dividends,Data,EUR,2017-06-30,IDVY(IE00B0M62S72) Cash Dividend 0.78170000 EUR per Share (Mixed Income),46.9
Dividends,Data,EUR,2017-07-03,REE(ES0173093024) Cash Dividend 0.62050000 EUR per Share (Ordinary Dividend),279.22
Dividends,Data,EUR,2017-07-05,ENG(ES0130960018) Cash Dividend 0.83400000 EUR per Share (Ordinary Dividend),287.73
Dividends,Data,EUR,2017-07-07,IBE(ES0144580Y14) Cash Dividend 0.03000000 EUR per Share (Ordinary Dividend),28.51
Dividends,Data,EUR,2017-07-26,ACS(ES06670509B5) Expire Dividend Right (Ordinary Dividend),15.77
Dividends,Data,EUR,2017-07-28,IBE(ES06445809E7) Expire Dividend Right (Ordinary Dividend),1.47
Dividends,Data,EUR,2017-08-04,SAN(ES0113900J37) Cash Dividend 0.06000000 EUR per Share (Ordinary Dividend),110.04
Dividends,Data,EUR,2017-09-06,UNA(NL0012440689) Expire Dividend Right (Ordinary Dividend),10.76
Dividends,Data,EUR,2017-09-08,BME(ES0115056139) Cash Dividend 0.40000000 EUR per Share (Ordinary Dividend),128
Dividends,Data,EUR,2017-09-29,IDVY(IE00B0M62S72) Cash Dividend 0.04150000 EUR per Share (Mixed Income),2.49
Dividends,Data,EUR,2017-11-02,ABE(ES0111845014) Cash Dividend 0.40000000 EUR per Share (Ordinary Dividend),200
Dividends,Data,EUR,2017-11-03,SAN(ES06139009Q9) Expire Dividend Right (Ordinary Dividend),5.2
Dividends,Data,EUR,2017-12-13,UNA(NL0012650592) Expire Dividend Right (Ordinary Dividend),10.76
Dividends,Data,EUR,2017-12-14,MAP(ES0124244E34) Cash Dividend 0.06050000 EUR per Share (Ordinary Dividend),196.63
Dividends,Data,EUR,2017-12-14,TEF(ES0178430E18) Cash Dividend 0.20000000 EUR per Share (Ordinary Div - NRA Withholding Exempt),160
Dividends,Data,EUR,2017-12-21,ENG(ES0130960018) Cash Dividend 0.58400000 EUR per Share (Ordinary Dividend),233.6
Dividends,Data,EUR,2017-12-29,BME(ES0115056139) Cash Dividend 0.60000000 EUR per Share (Ordinary Dividend),210
Dividends,Data,GBP,2016-12-30,ISF(IE0005042456) Cash Dividend 0.05050000 GBP per Share (Ordinary Dividend),8.84
Dividends,Data,GBP,2017-03-31,ISF(IE0005042456) Cash Dividend 0.06150000 GBP per Share (Mixed Income),10.76
Dividends,Data,GBP,2017-06-30,ISF(IE0005042456) Cash Dividend 0.09450000 GBP per Share (Mixed Income),16.54
Dividends,Data,GBP,2017-09-29,ISF(IE0005042456) Cash Dividend 0.09220000 GBP per Share (Mixed Income),16.13
Dividends,Data,USD,2017-01-10,PM(US7181721090) Cash Dividend 1.04000000 USD per Share (Mixed Income),36.4
Dividends,Data,USD,2017-01-13,O(US7561091049) Cash Dividend 0.20250000 USD per Share (Ordinary Dividend),5.47
Dividends,Data,USD,2017-02-01,T(US00206R1023) Cash Dividend 0.49000000 USD per Share (Ordinary Dividend),49
Dividends,Data,USD,2017-02-02,POT(CA73755L1076) Cash Dividend USD 0.10000000 (Ordinary Dividend),3.2
Dividends,Data,USD,2017-02-15,KMI(US49456B1017) Cash Dividend 0.12500000 USD per Share (Ordinary Dividend),16.26
Dividends,Data,USD,2017-02-15,O(US7561091049) Cash Dividend 0.21050000 USD per Share (Ordinary Dividend),5.68
Dividends,Data,USD,2017-03-02,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2017-03-10,CVX(US1667641005) Cash Dividend 1.08000000 USD per Share (Ordinary Dividend),42.12
Dividends,Data,USD,2017-03-15,MCD(US5801351017) Cash Dividend 0.94000000 USD per Share (Ordinary Dividend),4.71
Dividends,Data,USD,2017-03-15,O(US7561091049) Cash Dividend 0.21050000 USD per Share (Ordinary Dividend),5.68
Dividends,Data,USD,2017-04-03,KO(US1912161007) Cash Dividend 0.37000000 USD per Share (Ordinary Dividend),4.81
Dividends,Data,USD,2017-04-11,PM(US7181721090) Cash Dividend 1.04000000 USD per Share (Mixed Income),36.4
Dividends,Data,USD,2017-04-14,O(US7561091049) Cash Dividend 0.21100000 USD per Share (Ordinary Dividend),5.7
Dividends,Data,USD,2017-05-01,T(US00206R1023) Cash Dividend 0.49000000 USD per Share (Ordinary Dividend),49
Dividends,Data,USD,2017-05-02,POT(CA73755L1076) Cash Dividend USD 0.10000000 (Ordinary Dividend),3.2
Dividends,Data,USD,2017-05-15,KMI(US49456B1017) Cash Dividend 0.12500000 USD per Share (Ordinary Dividend),16.25
Dividends,Data,USD,2017-05-15,O(US7561091049) Cash Dividend 0.21100000 USD per Share (Ordinary Dividend),5.7
Dividends,Data,USD,2017-05-23,HCP(US40414L1098) Cash Dividend USD 0.37000000 (Ordinary Dividend),48.47
Dividends,Data,USD,2017-06-12,CVX(US1667641005) Cash Dividend 1.08000000 USD per Share (Ordinary Dividend),42.12
Dividends,Data,USD,2017-06-15,O(US7561091049) Cash Dividend 0.21100000 USD per Share (Ordinary Dividend),6.33
Dividends,Data,USD,2017-06-19,MCD(US5801351017) Cash Dividend 0.94000000 USD per Share (Ordinary Dividend),4.71
Dividends,Data,USD,2017-07-03,KO(US1912161007) Cash Dividend 0.37000000 USD per Share (Ordinary Dividend),4.81
Dividends,Data,USD,2017-07-10,BND(US9219378356) Cash Dividend USD 0.16967300 (Ordinary Dividend),1.7
Dividends,Data,USD,2017-07-11,PM(US7181721090) Cash Dividend 1.04000000 USD per Share (Mixed Income),36.4
Dividends,Data,USD,2017-07-14,O(US7561091049) Cash Dividend 0.21150000 USD per Share (Ordinary Dividend),6.34
Dividends,Data,USD,2017-08-01,POT(CA73755L1076) Cash Dividend USD 0.10000000 (Ordinary Dividend),3.2
Dividends,Data,USD,2017-08-01,T(US00206R1023) Cash Dividend 0.49000000 USD per Share (Ordinary Dividend),49
Dividends,Data,USD,2017-08-07,BND(US9219378356) Cash Dividend USD 0.17107000 (Ordinary Dividend),1.71
